iter	Passed	Remaining
288	79799	196324
289	80044	195970
290	80284	195606
291	80535	195271
292	80779	194918
293	81021	194561
294	81276	194236
295	81530	193909
296	81782	193580
297	82047	193279
298	82300	192952
299	82555	192629
300	82812	192312
301	83066	191987
302	83330	191686
303	83586	191369
304	83852	191074
305	84107	190754
306	84366	190443
307	84625	190131
308	84877	189806
309	85127	189477
310	85383	189160
311	85643	188853
312	85895	188530
313	86146	188205
314	86499	188103
315	86752	187781
316	86999	187446
317	87336	187306
318	87581	186969
319	87837	186654
320	88115	186387
321	88440	186218
322	88772	186065
323	89066	185830
324	89340	185554
325	89607	185261
326	89877	184976
327	90120	184638
328	90367	184306
329	90606	183959
330	90847	183616
331	91149	183397
332	91416	183107
333	91669	182791
334	91927	182481
335	92255	182314
336	92521	182022
337	92784	181726
338	93039	181413
339	93295	181103
340	93554	180799
341	93808	180484
342	94066	180179
343	94335	179895
344	94607	179617
345	94893	179364
346	95249	179245
347	95567	179051
348	95944	178967
349	96242	178736
350	96501	178431
351	96767	178140
352	97029	177841
353	97274	177511
354	97526	177195
355	97776	176876
356	98015	176538
357	98261	176212
358	98526	175920
359	98837	175711
360	99126	175461
361	99457	175286
362	99735	175018
363	99987	174703
364	100284	174467
365	100569	174211
366	100813	173882
367	101066	173571
368	101311	173246
369	101551	172911
370	101818	172624
371	102075	172321
372	102325	172006
373	102578	171696
374	102844	171407
375	103163	171207
376	103486	171013
377	103799	170802
378	104137	170630
379	104412	170357
380	104671	170057
381	104937	169767
382	105199	169472
383	105469	169190
384	105739	168909
385	105998	168608
386	106244	168288
387	106491	167971
388	106741	167657
389	106979	167327
390	107238	167028
391	107475	166696
392	107712	166364
393	107950	166035
394	108192	165712
395	108439	165396
396	108686	165082
397	108925	164756
398	109210	164499
399	109476	164214
400	109831	164062
401	110104	163786
402	110440	163604
403	110690	163296
404	110940	162987
405	111175	162656
406	111413	162329
407	111665	162024
408	111914	161714
409	112172	161419
410	112422	161111
411	112671	160803
412	112926	160502
413	113177	160198
414	113427	159891
415	113679	159588
416	113930	159284
417	114186	158987
418	114437	158682
419	114684	158374
420	114966	158112
421	115246	157849
422	115535	157597
423	115847	157378
424	116158	157155
425	116525	157007
426	116794	156729
427	117059	156443
428	117316	156148
429	117560	155836
430	117822	155548
431	118113	155297
432	118408	155052
433	118673	154767
434	118913	154451
435	119154	154135
436	119400	153827
437	119640	153511
438	119895	153215
439	120137	152902
440	120382	152593
441	120625	152283
442	120866	151969
443	121110	151660
444	121349	151346
445	121592	151036
446	121841	150735
447	122090	150432
448	122343	150136
449	122592	149835
450	122839	149531
451	123087	149229
452	123424	149035
453	123677	148740
454	123925	148438
455	124177	148142
456	124426	147841
457	124678	147545
458	124926	147244
459	125185	146956
460	125438	146662
461	125696	146374
462	125944	146073
463	126200	145783
464	126456	145493
465	126729	145222
466	126987	144933
467	127347	144762
468	127621	144492
469	127918	144248
470	128287	144085
471	128580	143836
472	128951	143672
473	129228	143405
474	129552	143189
475	129873	142969
476	130137	142687
477	130392	142395
478	130640	142094
479	130882	141789
480	131132	141492
481	131404	141218
482	131660	140928
483	131917	140639
484	132175	140350
485	132432	140062
486	132784	139874
487	133071	139616
488	133369	139369
489	133644	139099
490	133903	138812
491	134207	138572
492	134494	138313
493	134747	138021
494	134998	137725
495	135247	137428
496	135500	137136
497	135753	136843
498	135999	136544
499	136248	136248
500	136498	135953
501	136749	135659
502	136990	135356
503	137241	135062
504	137482	134759
505	137724	134458
506	137963	134153
507	138203	133850
508	138449	133553
509	138694	133255
510	138931	132949
511	139165	132642
512	139406	132341
513	139649	132042
514	139887	131738
515	140200	131505
516	140449	131212
517	140692	130914
518	140928	130610
519	141165	130307
520	141411	130011
521	141652	129712
522	141904	129423
523	142156	129134
524	142406	128844
525	142653	128550
526	142902	128259
527	143149	127966
528	143409	127686
529	143667	127403
530	144005	127191
531	144253	126899
532	144508	126613
533	144752	126319
534	145002	126029
535	145254	125742
536	145506	125455
537	145763	125172
538	146021	124890
539	146277	124606
540	146533	124323
541	146785	124036
542	147024	123738
543	147277	123453
544	147518	123157
545	147783	122882
546	148067	122622
547	148342	122355
548	148582	122059
549	148832	121771
550	149075	121478
551	149317	121185
552	149557	120889
553	149660	120484
554	149912	120200
555	150149	119903
556	150392	119611
557	150632	119318
558	150867	119021
559	151106	118726
560	151344	118432
561	151583	118138
562	151826	117847
563	152085	117569
564	152337	117286
565	152594	117006
566	152844	116722
567	153185	116507
568	153487	116262
569	153771	116002
570	154162	115823
571	154443	115562
572	154728	115303
573	155002	115036
574	155280	114772
575	155531	114488
576	155790	114210
577	156038	113924
578	156293	113643
579	156544	113360
580	156797	113078
581	157041	112788
582	157280	112497
583	157519	112205
584	157758	111913
585	157995	111621
586	158327	111395
587	158571	111108
588	158819	110823
589	159062	110535
590	159298	110242
591	159538	109952
592	159774	109659
593	160017	109372
594	160332	109133
595	160573	108845
596	160813	108555
597	161052	108266
598	161308	107987
599	161556	107704
600	161835	107441
601	162087	107160
602	162340	106881
603	162607	106610
604	162881	106344
605	163176	106091
606	163483	105846
607	163750	105575
608	164019	105306
609	164298	105043
610	164557	104767
611	164819	104493
612	165083	104220
613	165354	103952
614	165610	103674
615	165869	103399
616	166128	103123
617	166445	102883
618	166715	102614
619	166959	102329
620	167209	102049
621	167447	101760
622	167684	101471
623	167922	101183
624	168158	100895
625	168404	100612
626	168704	100361
627	168962	100086
628	169206	99802
629	169447	99516
630	169687	99230
631	169928	98945
632	170166	98658
633	170404	98372
634	170650	98090
635	170895	97808
636	171131	97520
637	171370	97235
638	171613	96952
639	171860	96671
640	172111	96393
641	172441	96159
642	172704	95887
643	172966	95615
644	173240	95349
645	173491	95071
646	173749	94797
647	174007	94522
648	174265	94248
649	174539	93982
650	174799	93709
651	175064	93439
652	175319	93163
653	175570	92886
654	175937	92669
655	176324	92462
656	176609	92202
657	176906	91948
658	177288	91738
659	177582	91481
660	177899	91237
661	178308	91039
662	178553	90757
663	178797	90475
664	179049	90197
665	179292	89915
666	179530	89630
667	179774	89348
668	180013	89065
669	180260	88785
670	180508	88505
671	180761	88228
672	180997	87943
673	181242	87663
674	181480	87379
675	181719	87096
676	181957	86812
677	182204	86533
678	182467	86262
679	182724	85987
680	182973	85710
681	183227	85434
682	183481	85158
683	183731	84881
684	183986	84606
685	184326	84370
686	184581	84096
687	184836	83821
688	185096	83548
689	185351	83273
690	185612	83001
691	185895	82739
692	186166	82472
693	186428	82200
694	186700	81933
695	186956	81659
696	187216	81386
697	187462	81108
698	187706	80829
699	187954	80552
700	188202	80274
701	188460	80001
702	188714	79727
703	188967	79452
704	189230	79181
705	189481	78905
706	189735	78631
707	189994	78359
708	190245	78083
709	190565	77836
710	190815	77560
711	191062	77283
712	191305	77005
713	191558	76730
714	191808	76454
715	192048	76175
716	192288	75896
717	192551	75625
718	192829	75361
719	193122	75103
720	193402	74839
721	193656	74565
722	193911	74292
723	194176	74023
724	194438	73752
725	194694	73479
726	194947	73206
727	195199	72931
728	195452	72657
729	195707	72384
730	195960	72111
731	196216	71838
732	196478	71568
733	196733	71295
734	196985	71022
735	197242	70749
736	197495	70476
737	197736	70199
738	197983	69923
739	198230	69648
740	198478	69373
741	198721	69097
742	198963	68820
743	199207	68544
744	199526	68294
745	199831	68039
746	200097	67770
747	200363	67502
748	200641	67237
749	200996	66998
750	201266	66731
751	201540	66465
752	201789	66191
753	202031	65914
754	202270	65637
755	202584	65384
756	202852	65116
757	203116	64847
758	203368	64574
759	203627	64303
760	203886	64032
761	204137	63759
762	204393	63487
763	204649	63216
764	204912	62947
765	205172	62676
766	205423	62403
767	205681	62132
768	205941	61862
769	206216	61597
770	206492	61331
771	206780	61069
772	207088	60813
773	207355	60545
774	207653	60286
775	207941	60024
776	208269	59773
777	208555	59510
778	208810	59238
779	209057	58965
780	209304	58691
781	209550	58416
782	209792	58141
783	210114	57888
784	210366	57616
785	210604	57340
786	210853	57067
787	211094	56791
788	211331	56515
789	211571	56240
790	211810	55965
791	212050	55689
792	212286	55414
793	212524	55138
794	212767	54864
795	213085	54609
796	213455	54368
797	213722	54100
798	214006	53836
799	214268	53567
800	214535	53299
801	214785	53026
802	215037	52755
803	215291	52483
804	215540	52211
805	215795	51940
806	216044	51668
807	216296	51397
808	216555	51127
809	216881	50873
810	217154	50606
811	217421	50339
812	217751	50085
813	218005	49814
814	218253	49542
815	218505	49270
816	218750	48998
817	218997	48725
818	219241	48452
819	219489	48180
820	219725	47906
821	219977	47635
822	220232	47364
823	220480	47092
824	220737	46823
825	221015	46557
826	221271	46287
827	221535	46019
828	221783	45747
829	222033	45476
830	222294	45208
831	222558	44939
832	222827	44672
833	223129	44411
834	223547	44174
835	223850	43913
836	224148	43651
837	224527	43405
838	224818	43141
839	225110	42878
840	225387	42611
841	225681	42348
842	225949	42080
843	226217	41812
844	226474	41542
845	226738	41273
846	227028	41009
847	227328	40747
848	227637	40486
849	227895	40216
850	228171	39950
851	228419	39678
852	228683	39409
853	228947	39140
854	229217	38873
855	229474	38603
856	229721	38331
857	229972	38060
858	230237	37792
859	230496	37522
860	230849	37268
861	231152	37005
862	231427	36738
863	231677	36467
864	231928	36196
865	232190	35927
866	232438	35656
867	232701	35387
868	232949	35116
869	233216	34848
870	233462	34577
871	233722	34307
872	233985	34039
873	234257	33771
874	234530	33504
875	234797	33236
876	235055	32966
877	235337	32700
878	235598	32431
879	235862	32163
880	236134	31895
881	236399	31627
882	236662	31358
883	236934	31090
884	237206	30823
885	237471	30555
886	237756	30289
887	238054	30024
888	238345	29759
889	238607	29490
890	238851	29219
891	239106	28950
892	239360	28680
893	239697	28420
894	239940	28149
895	240202	27880
896	240446	27609
897	240695	27339
898	240939	27068
899	241197	26799
900	241449	26530
901	241702	26260
902	241949	25990
903	242198	25720
904	242449	25450
905	242718	25182
906	242988	24915
907	243259	24647
908	243615	24388
909	243919	24123
910	244213	23858
911	244627	23604
912	244936	23340
913	245256	23076
914	245570	22812
915	245886	22548
916	246174	22281
917	246497	22018
918	246760	21749
919	247020	21480
920	247314	21213
921	247572	20944
922	247831	20675
923	248191	20413
924	248456	20145
925	248708	19875
926	248960	19605
927	249239	19337
928	249496	19068
929	249745	18798
930	249988	18527
931	250242	18258
932	250483	17987
933	250734	17717
934	250979	17447
935	251234	17178
936	251486	16908
937	251739	16639
938	251981	16369
939	252234	16100
940	252554	15834
941	252832	15567
942	253121	15300
943	253416	15033
944	253682	14764
945	253937	14495
946	254201	14226
947	254452	13957
948	254730	13689
949	254983	13420
950	255244	13151
951	255509	12882
952	255767	12613
953	256019	12344
954	256268	12075
955	256520	11806
956	256769	11537
957	257020	11268
958	257282	10999
959	257540	10730
960	257811	10462
961	258143	10196
962	258448	9930
963	258714	9661
964	258970	9392
965	259226	9123
966	259472	8854
967	259724	8585
968	259972	8316
969	260229	8048
970	260479	7779
971	260728	7510
972	260974	7241
973	261226	6973
974	261473	6704
975	261723	6435
976	261974	6167
977	262226	5898
978	262477	5630
979	262721	5361
980	262970	5093
981	263400	4828
982	263647	4559
983	263896	4290
984	264138	4022
985	264410	3754
986	264658	3485
987	264904	3217
988	265147	2949
989	265394	2680
990	265654	2412
991	265904	2144
992	266153	1876
993	266401	1608
994	266649	1339
995	266886	1071
996	267144	803
997	267390	535
998	267657	267
999	267985	0
